Date,Open
28-Feb-25,392.66
27-Feb-25,401.27
26-Feb-25,398.01
25-Feb-25,401.1
24-Feb-25,408.51
21-Feb-25,417.34
20-Feb-25,415.29
19-Feb-25,407.88
18-Feb-25,408
14-Feb-25,407.79
13-Feb-25,407
12-Feb-25,407.21
11-Feb-25,409.64
10-Feb-25,413.71
7-Feb-25,416.48
6-Feb-25,414
5-Feb-25,412.35
4-Feb-25,412.69
3-Feb-25,411.6
31-Jan-25,418.98
30-Jan-25,418.77
29-Jan-25,446.69
28-Jan-25,434.6
27-Jan-25,424.01
24-Jan-25,445.16
23-Jan-25,442
22-Jan-25,437.56
21-Jan-25,430.2
17-Jan-25,434.09
16-Jan-25,428.7
15-Jan-25,419.13
14-Jan-25,417.81
13-Jan-25,415.24
10-Jan-25,424.63
8-Jan-25,423.46
7-Jan-25,429
6-Jan-25,428
3-Jan-25,421.08
2-Jan-25,425.53
31-Dec-24,426.1
30-Dec-24,426.06
27-Dec-24,434.6
26-Dec-24,439.08
24-Dec-24,434.65
23-Dec-24,436.74
20-Dec-24,433.11
19-Dec-24,441.62
18-Dec-24,451.32
17-Dec-24,451.01
16-Dec-24,447.27
13-Dec-24,448.44
12-Dec-24,449.11
11-Dec-24,444.05
10-Dec-24,444.39
9-Dec-24,442.6
6-Dec-24,442.3
5-Dec-24,437.92
4-Dec-24,433.03
3-Dec-24,429.84
2-Dec-24,421.57
29-Nov-24,420.09
27-Nov-24,425.11
26-Nov-24,419.59
25-Nov-24,418.38
22-Nov-24,411.37
21-Nov-24,419.5
20-Nov-24,416.87
19-Nov-24,413.11
18-Nov-24,414.87
15-Nov-24,419.82
14-Nov-24,425
13-Nov-24,421.64
12-Nov-24,418.25
11-Nov-24,422.52
8-Nov-24,425.32
7-Nov-24,421.28
6-Nov-24,412.42
5-Nov-24,408.37
4-Nov-24,409.8
1-Nov-24,409.01
31-Oct-24,415.36
30-Oct-24,437.44
29-Oct-24,428
28-Oct-24,431.66
25-Oct-24,426.76
24-Oct-24,425.33
23-Oct-24,430.86
22-Oct-24,418.49
21-Oct-24,416.12
18-Oct-24,417.14
17-Oct-24,422.36
16-Oct-24,415.17
15-Oct-24,422.18
14-Oct-24,417.77
11-Oct-24,416.14
10-Oct-24,415.23
9-Oct-24,415.86
8-Oct-24,410.9
7-Oct-24,416
4-Oct-24,418.24
3-Oct-24,417.63
2-Oct-24,422.58
1-Oct-24,428.45
30-Sep-24,428.21
27-Sep-24,431.52
26-Sep-24,435.09
25-Sep-24,429.83
24-Sep-24,433
23-Sep-24,434.28
20-Sep-24,437.22
19-Sep-24,441.23
18-Sep-24,435
17-Sep-24,440.23
16-Sep-24,430.6
13-Sep-24,425.83
12-Sep-24,423.31
11-Sep-24,415.5
10-Sep-24,408.2
9-Sep-24,407.24
6-Sep-24,409.06
5-Sep-24,407.62
4-Sep-24,405.91
3-Sep-24,417.91
30-Aug-24,415.6
29-Aug-24,414.94
28-Aug-24,414.88
27-Aug-24,412.86
26-Aug-24,416.37
23-Aug-24,416.98
22-Aug-24,424.36
21-Aug-24,424.08
20-Aug-24,421.7
19-Aug-24,418.96
16-Aug-24,420.6
15-Aug-24,419.8
14-Aug-24,414.8
13-Aug-24,409.59
12-Aug-24,407.06
9-Aug-24,404.03
8-Aug-24,402.44
7-Aug-24,408.64
6-Aug-24,400
5-Aug-24,389.17
2-Aug-24,412.49
1-Aug-24,420.79
31-Jul-24,420.5
30-Jul-24,427.72
29-Jul-24,431.58
26-Jul-24,418.2
25-Jul-24,428.8
24-Jul-24,440.45
23-Jul-24,443.9
22-Jul-24,441.79
19-Jul-24,433.1
18-Jul-24,444.34
17-Jul-24,442.59
16-Jul-24,454.22
15-Jul-24,453.3
12-Jul-24,454.33
11-Jul-24,462.98
10-Jul-24,461.22
9-Jul-24,467
8-Jul-24,466.55
5-Jul-24,459.61
3-Jul-24,458.19
2-Jul-24,453.2
1-Jul-24,448.66
28-Jun-24,453.07
27-Jun-24,452.18
26-Jun-24,449
25-Jun-24,448.25
24-Jun-24,449.8
21-Jun-24,447.38
20-Jun-24,446.3
18-Jun-24,449.71
17-Jun-24,442.59
14-Jun-24,438.28
13-Jun-24,440.85
12-Jun-24,435.32
11-Jun-24,425.48
10-Jun-24,424.7
7-Jun-24,426.2
6-Jun-24,424.01
5-Jun-24,417.81
4-Jun-24,412.43
3-Jun-24,415.53
31-May-24,416.75
30-May-24,424.3
29-May-24,425.69
28-May-24,429.63
24-May-24,427.19
23-May-24,432.97
22-May-24,430.09
21-May-24,426.83
20-May-24,420.21
17-May-24,422.54
16-May-24,421.8
15-May-24,417.9
14-May-24,412.02
13-May-24,418.01
10-May-24,412.94
9-May-24,410.57
8-May-24,408.17
7-May-24,414.66
6-May-24,408.76
3-May-24,402.28
2-May-24,397.66
1-May-24,392.61
30-Apr-24,401.49
29-Apr-24,405.25
26-Apr-24,412.17
25-Apr-24,394.03
24-Apr-24,409.56
23-Apr-24,404.24
22-Apr-24,400.08
19-Apr-24,404.03
18-Apr-24,410.63
17-Apr-24,417.25
16-Apr-24,414.57
15-Apr-24,426.6
12-Apr-24,424.05
11-Apr-24,425.82
10-Apr-24,422.19
9-Apr-24,426.44
8-Apr-24,425.17
5-Apr-24,420.01
4-Apr-24,424.99
3-Apr-24,419.73
2-Apr-24,420.11
1-Apr-24,423.95
28-Mar-24,420.96
27-Mar-24,424.44
26-Mar-24,425.61
25-Mar-24,425.24
22-Mar-24,429.7
21-Mar-24,429.83
20-Mar-24,422
19-Mar-24,417.83
18-Mar-24,414.25
15-Mar-24,419.29
14-Mar-24,420.24
13-Mar-24,418.1
12-Mar-24,407.62
11-Mar-24,403.76
8-Mar-24,407.96
7-Mar-24,406.12
6-Mar-24,402.97
5-Mar-24,413.96
4-Mar-24,413.44
1-Mar-24,411.27